Slug,Name,Town,Map
a-1-site,A-1 Site,Westborough,https://www.mass.gov/files/documents/2018/01/03/A1site.pdf
agawam-mill-pond,Agawam Mill Pond,Wareham,https://www.mass.gov/doc/agawam-mill-pond/download
aldrich-lake,Aldrich Lake,Granby,https://www.mass.gov/files/documents/2016/08/xk/dfwaldr.pdf
althea-lake,Althea Lake,Tyngsborough,"https://www.mass.gov/files/documents/2016/08/xc/dfwalth.pdf"""
alum-big-pond,Alum Big Pond,Sturbridge,"https://www.mass.gov/files/documents/2016/08/ry/dfwbiga.pdf"""
ames-long-pond,Ames Long Pond,Stoughton,"https://www.mass.gov/doc/ames-long-pond/download"""
ashfield-pond,Ashfield Pond,Ashfield,https://www.mass.gov/files/documents/2016/08/ok/dfwashfield.pdf
ashland-reservoir,Ashland Reservoir,Ashland,https://www.mass.gov/files/documents/2016/08/vb/dfwashl.pdf
ashmere-lake,Ashmere Lake,Hinsdale,https://www.mass.gov/files/documents/2016/08/wh/dfwashmere.pdf
ashumet-pond,Ashumet Pond,Mashpee,https://www.mass.gov/files/documents/2018/02/01/Ashumet_0.pdf
asnacomet-comet-pond,Asnacomet Comet Pond,Hubbardston,https://www.mass.gov/files/documents/2018/03/26/Asnacomet_pond.pdf
badluck-lake,Badluck Lake,Douglas,https://www.mass.gov/files/documents/2018/02/20/badluck.pdf
baker-pond,Baker Pond,Orleans,https://www.mass.gov/files/documents/2016/08/wh/dfwbake_0.pdf
baldpate-pond,Baldpate Pond,Boxford,https://www.mass.gov/files/documents/2016/08/ph/dfwbald.pdf
bare-hill-pond,Bare Hill Pond,Harvard,https://www.mass.gov/files/documents/2018/02/20/barehill.pdf
barrett-pond,Barrett Pond,Carver,https://www.mass.gov/files/documents/2016/08/no/dfwbarr.pdf
bartlett-pond,Bartlett Pond,Northborough,https://www.mass.gov/files/documents/2018/02/05/Bartlett_pond.pdf
bates-power-reservoir,Bates Power Reservoir,Phillipston,https://www.mass.gov/files/documents/2016/08/wh/dfwbate_0.pdf
beck-pond,Beck Pond,Hamilton,https://www.mass.gov/files/documents/2016/08/wh/dfwbeck.pdf
benedict-pond,Benedict Pond,Great Barrington,https://www.mass.gov/files/documents/2016/08/tm/dfwbene.pdftarget=_blank
little-benton,Little Benton,Otis,https://www.mass.gov/files/documents/2019/01/04/Benton_pond.pdf
berry-pond,Berry Pond,Hancock,https://www.mass.gov/files/documents/2016/08/qd/dfwberr.pdftarget=_blank
big-benton-pond,Big Benton Pond,Otis,https://www.mass.gov/files/documents/2019/02/14/bigbenton.pdf
big-sandy-pond,Big Sandy Pond,Plymouth,https://www.mass.gov/files/documents/2018/02/05/Big_Sandy_Plymouth.pdf
billington-sea,Billington Sea,Plymouth,https://www.mass.gov/doc/billington-sealittle-pond/download
blood-pond,Blood Pond,Plymouth,https://www.mass.gov/files/documents/2016/08/qd/dfwbloo.pdf
blueberry-pond,Blueberry Pond,Brewster,https://www.mass.gov/files/documents/2016/08/no/dfwblue.pdf
brigham-pond,Brigham Pond,Hubbardston,https://www.mass.gov/files/documents/2016/08/oi/dfwbrig.pdf
